epoch,value,metric,data
1,0.4021841266552607,loss,training
2,0.3073706103960673,loss,training
3,0.2938988536397616,loss,training
4,0.2879153265953064,loss,training
5,0.280106906970342,loss,training
6,0.277145256737868,loss,training
7,0.27348178070783613,loss,training
8,0.26998726071914037,loss,training
9,0.2677427954276403,loss,training
10,0.266404178639253,loss,training
11,0.26508072592814763,loss,training
12,0.263982430656751,loss,training
1,0.8852499723434448,acc,training
2,0.9133333563804626,acc,training
3,0.9179791808128357,acc,training
4,0.9189375042915344,acc,training
5,0.9221875071525574,acc,training
6,0.9232708215713501,acc,training
7,0.9243124723434448,acc,training
8,0.9246666431427002,acc,training
9,0.9255208373069763,acc,training
10,0.9253125190734863,acc,training
11,0.9261875152587891,acc,training
12,0.9265416860580444,acc,training
1,0.29886347937583924,loss,validation
2,0.29700767413775125,loss,validation
3,0.29224579977989196,loss,validation
4,0.2659858210881551,loss,validation
5,0.2795258909066518,loss,validation
6,0.27061846868197126,loss,validation
7,0.2923905061880748,loss,validation
8,0.2797626775900523,loss,validation
9,0.27903039145469666,loss,validation
10,0.27616756399472553,loss,validation
11,0.2830916075309118,loss,validation
12,0.28069914237658183,loss,validation
1,0.9145833253860474,acc,validation
2,0.9200833439826965,acc,validation
3,0.9197499752044678,acc,validation
4,0.9270833134651184,acc,validation
5,0.921833336353302,acc,validation
6,0.9278333187103271,acc,validation
7,0.9178333282470703,acc,validation
8,0.9238333106040955,acc,validation
9,0.921999990940094,acc,validation
10,0.9237499833106995,acc,validation
11,0.922249972820282,acc,validation
12,0.9240000247955322,acc,validation
