epoch,value,metric,data
1,0.2370249426215887,loss,training
2,0.05377421251436074,loss,training
3,0.03258305857082208,loss,training
4,0.021962456074543297,loss,training
5,0.014259890824866792,loss,training
6,0.010787786511238665,loss,training
1,0.9262916445732117,acc,training
2,0.9834583401679993,acc,training
3,0.9897500276565552,acc,training
4,0.9934375286102295,acc,training
5,0.9960833191871643,acc,training
6,0.9964791536331177,acc,training
1,0.06934214461843173,loss,validation
2,0.049160538494586944,loss,validation
3,0.04472140664358934,loss,validation
4,0.03912981046239535,loss,validation
5,0.04312612204502026,loss,validation
6,0.04649615975469351,loss,validation
1,0.9793333411216736,acc,validation
2,0.9863333106040955,acc,validation
3,0.9869999885559082,acc,validation
4,0.9885833263397217,acc,validation
5,0.987416684627533,acc,validation
6,0.9871666431427002,acc,validation
