epoch,value,metric,data
1,0.4048641575574875,loss,training
2,0.30826188206672667,loss,training
3,0.29529062553246815,loss,training
4,0.28617636501789095,loss,training
5,0.2814019198417664,loss,training
6,0.27746015405654906,loss,training
7,0.27433791464567187,loss,training
8,0.2715180608034134,loss,training
9,0.2688665767113368,loss,training
10,0.2662954199910164,loss,training
11,0.26436210743586225,loss,training
12,0.2633905741771062,loss,training
1,0.8837083578109741,acc,training
2,0.9137499928474426,acc,training
3,0.9167291522026062,acc,training
4,0.9207916855812073,acc,training
5,0.9218541383743286,acc,training
6,0.9229999780654907,acc,training
7,0.9241041541099548,acc,training
8,0.9236041903495789,acc,training
9,0.9252291917800903,acc,training
10,0.9252499938011169,acc,training
11,0.9272083044052124,acc,training
12,0.9266250133514404,acc,training
1,0.285501478989919,loss,validation
2,0.29817432220776874,loss,validation
3,0.28078519852956135,loss,validation
4,0.3034280486901601,loss,validation
5,0.28381974800427756,loss,validation
6,0.2828578147888184,loss,validation
7,0.2877972145080566,loss,validation
8,0.2775686228275299,loss,validation
9,0.27566722122828163,loss,validation
10,0.27933847173055015,loss,validation
11,0.2830024315913518,loss,validation
12,0.29043165636062623,loss,validation
1,0.9206666946411133,acc,validation
2,0.9176666736602783,acc,validation
3,0.9235000014305115,acc,validation
4,0.9164999723434448,acc,validation
5,0.9214166402816772,acc,validation
6,0.9235833287239075,acc,validation
7,0.918749988079071,acc,validation
8,0.9240833520889282,acc,validation
9,0.9246666431427002,acc,validation
10,0.9231666922569275,acc,validation
11,0.922166645526886,acc,validation
12,0.9192500114440918,acc,validation
