epoch,value,metric,data
1,0.23896110605696838,loss,training
2,0.055368935686846574,loss,training
3,0.03353214926458895,loss,training
4,0.023108089744113387,loss,training
5,0.014658252322658275,loss,training
6,0.00972351237013936,loss,training
1,0.9281041622161865,acc,training
2,0.9835416674613953,acc,training
3,0.9894791841506958,acc,training
4,0.992562472820282,acc,training
5,0.9955624938011169,acc,training
6,0.997041642665863,acc,training
1,0.07073593047757944,loss,validation
2,0.05846828586359819,loss,validation
3,0.054160304759939513,loss,validation
4,0.040065993044525385,loss,validation
5,0.042321358297020197,loss,validation
6,0.0545635558317105,loss,validation
1,0.9787499904632568,acc,validation
2,0.981166660785675,acc,validation
3,0.98458331823349,acc,validation
4,0.9881666898727417,acc,validation
5,0.987583339214325,acc,validation
6,0.984499990940094,acc,validation
