epoch,value,metric,data
1,1.929623249130249,loss,training
2,1.6267424298095703,loss,training
3,1.4986504039001465,loss,training
4,1.4270707078552247,loss,training
5,1.3763164344024659,loss,training
6,1.3304475274658203,loss,training
7,1.2931337040328978,loss,training
8,1.2619437884902953,loss,training
9,1.226390336303711,loss,training
10,1.2017855572319032,loss,training
11,1.1757962303161622,loss,training
12,1.1550442069625855,loss,training
13,1.13192029296875,loss,training
14,1.1116317640304565,loss,training
15,1.0966756332969665,loss,training
16,1.0806163499832153,loss,training
17,1.0586978564071656,loss,training
18,1.0515236687469482,loss,training
19,1.0365056693458556,loss,training
20,1.0197560107803345,loss,training
1,0.2913999855518341,acc,training
2,0.4063200056552887,acc,training
3,0.4541800022125244,acc,training
4,0.4854399859905243,acc,training
5,0.5037800073623657,acc,training
6,0.5216799974441528,acc,training
7,0.5377600193023682,acc,training
8,0.5493800044059753,acc,training
9,0.563480019569397,acc,training
10,0.5730999708175659,acc,training
11,0.5806199908256531,acc,training
12,0.5912200212478638,acc,training
13,0.59934002161026,acc,training
14,0.6064000129699707,acc,training
15,0.6114400029182434,acc,training
16,0.6170799732208252,acc,training
17,0.6285799741744995,acc,training
18,0.6285399794578552,acc,training
19,0.6330199837684631,acc,training
20,0.6387400031089783,acc,training
1,1.682294713973999,loss,validation
2,1.4823273012161255,loss,validation
3,1.3949588060379028,loss,validation
4,1.389022512626648,loss,validation
5,1.2868740274429322,loss,validation
6,1.242565541267395,loss,validation
7,1.2151961071014403,loss,validation
8,1.1767590753555297,loss,validation
9,1.1277964487075807,loss,validation
10,1.1031279370307923,loss,validation
11,1.0623363481521606,loss,validation
12,1.044964993095398,loss,validation
13,1.0383571872711181,loss,validation
14,1.045536915588379,loss,validation
15,0.9888941802024841,loss,validation
16,1.0037604778289795,loss,validation
17,0.9769405038833618,loss,validation
18,0.9734755160331726,loss,validation
19,0.9631413135528565,loss,validation
20,1.0072516592025758,loss,validation
1,0.3901999890804291,acc,validation
2,0.46230000257492065,acc,validation
3,0.4934999942779541,acc,validation
4,0.5062000155448914,acc,validation
5,0.5375000238418579,acc,validation
6,0.5503000020980835,acc,validation
7,0.5618000030517578,acc,validation
8,0.5763000249862671,acc,validation
9,0.6025999784469604,acc,validation
10,0.6083999872207642,acc,validation
11,0.6202999949455261,acc,validation
12,0.6281999945640564,acc,validation
13,0.630299985408783,acc,validation
14,0.6283000111579895,acc,validation
15,0.6516000032424927,acc,validation
16,0.6463000178337097,acc,validation
17,0.6574000120162964,acc,validation
18,0.6567000150680542,acc,validation
19,0.664900004863739,acc,validation
20,0.6428999900817871,acc,validation
