epoch,value,metric,data
1,0.32413856879870095,loss,training
2,0.14578681070605914,loss,training
3,0.0991429969171683,loss,training
4,0.07354964575419823,loss,training
5,0.05818045661598444,loss,training
6,0.04615706760001679,loss,training
7,0.03752984782805045,loss,training
8,0.02960354195162654,loss,training
9,0.024250655902549625,loss,training
10,0.019548288159072398,loss,training
11,0.01558141415923213,loss,training
12,0.012631865036673844,loss,training
1,0.9083958268165588,acc,training
2,0.9586458206176758,acc,training
3,0.9713125228881836,acc,training
4,0.9782291650772095,acc,training
5,0.9831041693687439,acc,training
6,0.9868749976158142,acc,training
7,0.9893749952316284,acc,training
8,0.9911666512489319,acc,training
9,0.9931250214576721,acc,training
10,0.995187520980835,acc,training
11,0.9958750009536743,acc,training
12,0.996999979019165,acc,training
1,0.17311272164185842,loss,validation
2,0.13794492677847545,loss,validation
3,0.11334380342562993,loss,validation
4,0.1021117539803187,loss,validation
5,0.08607515102624894,loss,validation
6,0.08142428210377693,loss,validation
7,0.08113934687276682,loss,validation
8,0.08325646808743477,loss,validation
9,0.08171219232678413,loss,validation
10,0.08572577670340736,loss,validation
11,0.08411893252531688,loss,validation
12,0.08601021507879099,loss,validation
1,0.9512500166893005,acc,validation
2,0.9598333239555359,acc,validation
3,0.9675833582878113,acc,validation
4,0.9694166779518127,acc,validation
5,0.9755833148956299,acc,validation
6,0.9767500162124634,acc,validation
7,0.9771666526794434,acc,validation
8,0.9772499799728394,acc,validation
9,0.9779999852180481,acc,validation
10,0.9767500162124634,acc,validation
11,0.9779999852180481,acc,validation
12,0.9782500267028809,acc,validation
