epoch,value,metric,data
1,1.847220598602295,loss,training
2,1.5662020932006835,loss,training
3,1.4366479431533814,loss,training
4,1.3494632725906373,loss,training
5,1.2911911967468261,loss,training
6,1.2307194534683228,loss,training
7,1.1815908355331421,loss,training
8,1.1379616578674316,loss,training
9,1.1015455343437195,loss,training
10,1.0679230902862549,loss,training
11,1.0410293017578125,loss,training
12,1.0165744855308532,loss,training
13,0.9873493827819825,loss,training
14,0.9660638389778137,loss,training
15,0.9503361047363281,loss,training
16,0.9324838126373292,loss,training
17,0.9158615157318115,loss,training
18,0.8992366734886169,loss,training
19,0.8854087330627441,loss,training
20,0.8743561751174926,loss,training
1,0.3171600103378296,acc,training
2,0.4284600019454956,acc,training
3,0.47971999645233154,acc,training
4,0.5189999938011169,acc,training
5,0.5425000190734863,acc,training
6,0.5652599930763245,acc,training
7,0.5829799771308899,acc,training
8,0.5989199876785278,acc,training
9,0.611240029335022,acc,training
10,0.6246600151062012,acc,training
11,0.6354600191116333,acc,training
12,0.6455000042915344,acc,training
13,0.6556599736213684,acc,training
14,0.6633399724960327,acc,training
15,0.6659799814224243,acc,training
16,0.6741600036621094,acc,training
17,0.680400013923645,acc,training
18,0.6852200031280518,acc,training
19,0.691860020160675,acc,training
20,0.6944199800491333,acc,training
1,1.6149144912719726,loss,validation
2,1.4057471893310547,loss,validation
3,1.3478672548294068,loss,validation
4,1.2571208461761474,loss,validation
5,1.2241162482261658,loss,validation
6,1.1353764466285705,loss,validation
7,1.098343242073059,loss,validation
8,1.0571104195594787,loss,validation
9,1.0224195666313172,loss,validation
10,1.0040018445968628,loss,validation
11,0.96485787906646725,loss,validation
12,0.9322170127868652,loss,validation
13,0.9462240926742553,loss,validation
14,0.9132412712097168,loss,validation
15,0.9016275793075561,loss,validation
16,0.8706739609241485,loss,validation
17,0.8760559993743896,loss,validation
18,0.8664275935173035,loss,validation
19,0.8290536554336548,loss,validation
20,0.8252947803974151,loss,validation
1,0.40450000762939453,acc,validation
2,0.491100013256073,acc,validation
3,0.5166000127792358,acc,validation
4,0.555400013923645,acc,validation
5,0.5647000074386597,acc,validation
6,0.5981000065803528,acc,validation
7,0.611299991607666,acc,validation
8,0.6287999749183655,acc,validation
9,0.6378999948501587,acc,validation
10,0.6535000205039978,acc,validation
11,0.6610000133514404,acc,validation
12,0.6772000193595886,acc,validation
13,0.6675000190734863,acc,validation
14,0.6787999868392944,acc,validation
15,0.6859999895095825,acc,validation
16,0.6952999830245972,acc,validation
17,0.6991999745368958,acc,validation
18,0.7034000158309937,acc,validation
19,0.7121999859809875,acc,validation
20,0.7166000008583069,acc,validation
