epoch,value,metric,data
1,0.314015909075737,loss,training
2,0.10059166338543098,loss,training
3,0.07414987026154995,loss,training
4,0.059241050317883494,loss,training
5,0.05142121491332849,loss,training
6,0.04577994119003415,loss,training
1,0.9021666646003723,acc,training
2,0.9703958630561829,acc,training
3,0.9776041507720947,acc,training
4,0.9828125238418579,acc,training
5,0.98416668176651,acc,training
6,0.9858958125114441,acc,training
1,0.0703893265624841,loss,validation
2,0.054316964184244476,loss,validation
3,0.04438035975893338,loss,validation
4,0.04229693237071236,loss,validation
5,0.04161279631840686,loss,validation
6,0.0384820856153965,loss,validation
1,0.9801666736602783,acc,validation
2,0.984083354473114,acc,validation
3,0.987500011920929,acc,validation
4,0.9884166717529297,acc,validation
5,0.9881666898727417,acc,validation
6,0.9893333315849304,acc,validation
